ResourceID,Generating_Unit_Name/Description,Net_Dependable_Capacity_(MW),Unit_Type,Nameplate_Capacity_(MW)
VISTA2RIALTO,Rialto Roof Top Solar Project,1,PHOTO VOLTAIC,1
ENWIND2WIND2,Ridgetop 1,65,WIND,65
GLDTWN6SOLAR,Rio Grande,5,PHOTO VOLTAIC,5
SMPRIP1SMPSON,Ripon Cogeneration Unit 1,46.05,COMBUSTION TURBINE,49.5
RTREE2WIND1,Rising Tree 1,79.2,WIND,79.2
RTREE2WIND2,Rising Tree 2,19.8,WIND,19.8
RTREE2WIND3,Rising Tree 3,99,WIND,99
RVSIDE6RERCU1,Riverside Energy Res. Ctr Unit 1,48.35,COMBUSTION TURBINE,48.5
RVSIDE6RERCU2,Riverside Energy Res. Ctr Unit 2,48.5,COMBUSTION TURBINE,48.5
RVSIDE2RERCU3,Riverside Energy Resource Center (RERC) Unit 3,49,COMBUSTION TURBINE,48.5
RVSIDE2RERCU4,Riverside Energy Resource Center (RERC) Unit 4,49,COMBUSTION TURBINE,48.5
ETIWND2SOLAR2,Rochester,1,PHOTO VOLTAIC,1
RCKCRK7UNIT1,Rock Creek Unit 1,57,HYDRO,57
RCKCRK7UNIT2,Rock Creek Unit 2,56.9,HYDRO,56.9
ROLLIN6UNIT,Rollins PH,13.5,HYDRO,12.15
RSMSLR6SOLAR1,Rosamond One,20,PHOTO VOLTAIC,20
RSMSLR6SOLAR2,Rosamond Two,20,PHOTO VOLTAIC,20
RUSCTY2UNITS,Russell City Energy Center,620,COMBINED CYCLE,600
RUSCTY2CTG1,RCEC Unit 1,180,COMBUSTION TURBINE,193
RUSCTY2CTG2,RCEC Unit 2,180,COMBUSTION TURBINE,193
RUSCTY2STG,RCEC Unit 3,254,COMBUSTION TURBINE,254
SALIRV2UNIT,SALINAS RIVER COGENERATION,57,COMBUSTION TURBINE,45
SALTSP7UNITS,SALT SPRINGS PH (AGGREGATE),46,HYDRO,46
SALTSP7UNIT1,Salt Springs Unit 1,12,HYDRO,12
SALTSP7UNIT2,Salt Springs Unit 2,34,HYDRO,34
SBERDO2QF,SAN BERNARDINO AREA LUMPED UNITS,10.6,,11.85
PADUA6MWDSDM,SAN DIMAS HYDRO RECOVERY PLANT,9.9,HYDRO,9.9
PADUA7SDIMAS,SAN DIMAS WASH HYDRO,1.05,HYDRO,1.05
SLUISP2UNITS,SAN LUIS (GIANELLI) P-G PLANT (AGGREGATE),374.43,PUMPED STORAGE,424
SLUISP2UNIT1,San Luis P-G Unit 1,55,PUMPED STORAGE,53
SLUISP2UNIT2,San Luis P-G Unit 2,55,PUMPED STORAGE,53
SLUISP2UNIT3,San Luis P-G Unit 3,55,PUMPED STORAGE,53
SLUISP2UNIT4,San Luis P-G Unit 4,55,PUMPED STORAGE,53
SLUISP2UNIT5,San Luis P-G Unit 5,55,PUMPED STORAGE,53
SLUISP2UNIT6,San Luis P-G Unit 6,55,PUMPED STORAGE,53
SLUISP2UNIT7,San Luis P-G Unit 7,55,PUMPED STORAGE,53
SLUISP2UNIT8,San Luis P-G Unit 8,55,PUMPED STORAGE,53
SGREGY6SANGER,"SANGER POWER, LLC",48.3,COMBUSTION TURBINE,48.3
SBERDO2SNTANA,SANTA ANA RIVER PROJECT (AGGREGATE),6.95,HYDRO,6.95
SNCLRA6QF,SANTA CLARA AREA LUMPED UNITS,12.9,,11.16
CSCCOG1UNIT1,SANTA CLARA COGEN,7,COMBUSTION TURBINE,7
GRNVLY7SCLAND,SANTA CRUZ LANDFILL GENERATING PLANT,3.04,INTERNAL COMBUSTION,3.02
SARGNT2UNIT,SARGENT CANYON COGENERATION,57.1,COMBUSTION TURBINE,45
SAUGUS6QF,SAUGUS AREA LUMPED UNITS,8.9,HYDRO,9.33
SEARLS7ARGUS,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",62.5,STEAM,62.5
DEVERS1SEPV05,SEPV 5,2,PHOTO VOLTAIC,2
DEVERS1SOLAR1,SEPV8,12,PHOTO VOLTAIC,12
DEVERS1SOLAR2,SEPV9,9,PHOTO VOLTAIC,9
DALYCT1FCELL,SF State Fuel Cell Station,1.6,COMBUSTION TURBINE,1.6
ALHMBR1ALHSLR,SG Alhambra,50,PHOTO VOLTAIC,50
ARKANS1ARKSLR,SG Arkansas,50,PHOTO VOLTAIC,50
SNORA2SNRSLR,SG Sorrento,50,PHOTO VOLTAIC,50
BRDSLD2SHILO1,SHILOH I WIND PROJECT,150,WIND,150
MOORPK7UNITA1,SIMI VALLEY LANDFILL GAS GENERATION,2.49,RECIPROCATING ENGINE,2.7
APLHIL1SLABCK,SLAB CREEK HYDRO,1,HYDRO,0.4
WRGHTP7AMENGY,SMALL QF AGGREGATION - LOS BANOS,2.5,HYDRO,2.5
SPBURN7SNOWMT,SNOW MOUNTAIN HYDRO LLC (BURNEY CREEK),3,HYDRO,3
USWNDR2SMUD,SOLANO WIND,102.18,WIND,102.18
SOUTH2UNIT,SOUTH PH,7.1,HYDRO,7.1
COTTLE2FRNKNH,SOUTH SAN JOAQUIN ID (FRANKENHEIMER),5.3,HYDRO,8.75
VLYHOM7SSJID,SOUTH SAN JOAQUIN ID (WOODWARD),3,HYDRO,5
SPAULD6UNIT12,SPAULDING UNITS 1 & 2 (AGGREGATE),11.4,HYDRO,11.4
SPAULD6UNIT1,Spaulding Unit 1,7,HYDRO,7
SPAULD6UNIT2,Spaulding Unit 2,4.4,HYDRO,4.4
SPIAND1ANDSN2,SPI Anderson 2,27.15,STEAM,30.15
SPRGVL2QF,SPRINGVILLE AREA LUMPED UNITS,2.3,,2.28
SBERDO2RTS005,SPVP005 Redlands RT Solar,2.5,PHOTO VOLTAIC,2.5
SBERDO2RTS007,SPVP007 Redlands RT Solar,2.5,PHOTO VOLTAIC,2.5
ETIWND2RTS010,SPVP010 Fontana RT Solar,1.5,PHOTO VOLTAIC,1.5
SBERDO2RTS011,SPVP011,3.5,PHOTO VOLTAIC,3.5
SBERDO2RTS013,SPVP013,3.5,PHOTO VOLTAIC,3.5
ETIWND2RTS015,SPVP015 Fontana RT Solar,3,PHOTO VOLTAIC,3
SBERDO2RTS016,SPVP016 Redlands RT Solar,1.5,PHOTO VOLTAIC,1.5
ETIWND2RTS017,SPVP017,3.5,PHOTO VOLTAIC,3.5
ETIWND2RTS018,SPVP018 Fontana RT Solar,1.5,PHOTO VOLTAIC,1.5
SBERDO2REDLND,SPVP022 Redlands RT Solar,2,PHOTO VOLTAIC,2.5
ETIWND2RTS023,SPVP023 Fontana RT Solar,2.5,PHOTO VOLTAIC,2.5
ETIWND2RTS026,SPVP026,6,PHOTO VOLTAIC,6
ETIWND2RTS027,SPVP027,2,PHOTO VOLTAIC,2
VISTA2RTS028,SPVP028,3.5,PHOTO VOLTAIC,3.5
MIRLOM2RTS032,SPVP032,1.5,PHOTO VOLTAIC,1.5
MIRLOM2RTS033,SPVP033,1,PHOTO VOLTAIC,1
VESTAL2RTS042,SPVP042 Porterville Solar,5,PHOTO VOLTAIC,5
VALLEY5RTS044,SPVP044,8,PHOTO VOLTAIC,8
SBERDO2RTS048,SPVP048,5,PHOTO VOLTAIC,5
SRINTL6UNIT,SRI INTERNATIONAL,6.9,COMBUSTION TURBINE,6.9
KANAKA1UNIT,STS HYDROPOWER LTD. (KANAKA),2.5,HYDRO,2.5
LAWRNC7SUNYVL,SUNNYVALE LANDFILL GAS POWER GENERATION FACILITY,0.3,RECIPROCATING ENGINE,1.6
SUNRIS2PL1X3,SUNRISE POWER PROJECT (AGGREGATE),586.02,COMBINED CYCLE,590
SUNRIS2UNIT1,Sunrise Power Project Unit 1,164,COMBUSTION TURBINE,173.33
SUNRIS2UNIT2,Sunrise Power Project Unit 2,164,COMBUSTION TURBINE,173.33
SUNRIS2UNIT3,Sunrise Power Project Unit 3,272,STEAM,266
SUTTER2PL1X3,SUTTER POWER PLANT AGGREGATE,525,COMBINED CYCLE,572
SUTTER2CTG1,Sutter Power Plant Unit 1,186,COMBUSTION TURBINE,186
SUTTER2CTG2,Sutter Power Plant Unit 2,186,COMBUSTION TURBINE,186
SUTTER2STG,Sutter Power Plant Unit 3,200,STEAM,200
CHILLS7UNITA1,SYCAMORE CANYON LANDFILL PLANT B,2,RECIPROCATING ENGINE,3
SYCAMR2UNIT1,SYCAMORE COGENERATION UNIT 1,85,COMBUSTION TURBINE,90
SYCAMR2UNIT2,SYCAMORE COGENERATION UNIT 2,85,COMBUSTION TURBINE,90
SYCAMR2UNIT3,SYCAMORE COGENERATION UNIT 3,85,COMBUSTION TURBINE,90
SYCAMR2UNIT4,SYCAMORE COGENERATION UNIT 4,85,COMBUSTION TURBINE,90
ALLGNY6HYDRO1,Salmon Creek Hydroelectric Project,0.52,HYDRO,0.54
HOLSTR1SOLAR,San Benito Smart Park,1.5,PHOTO VOLTAIC,1.5
GARNET2WIND3,San Gorgonio East,12.67,WIND,12.6
CRNEVL6SJQN2,San Joaquin PH 2,3.2,HYDRO,3.2
CRNEVL6SJQN3,San Joaquin PH 3,4.2,HYDRO,4.2
SMRCOS6LNDFIL,San Marcos Energy,1.5,RECIPROCATING ENGINE,1.6
SNDBAR7UNIT1,Sand Bar Hydro,18.6,HYDRO,18.6
AVENAL6SANDDG,Sand Drag Solar Project,19,PHOTO VOLTAIC,19
ZOND6UNIT,Santa Clara Wind Project,17.1,WIND,24.1
PSWEET1STCRUZ,Santa Cruz Energy LLC,1.6,RECIPROCATING ENGINE,1.6
SISQUC1SMARIA,Santa Maria II LFG Power Plant,1.42,RECIPROCATING ENGINE,1.48
ANZA6SOLAR1,Seville Solar One,20,PHOTO VOLTAIC,20
7STDRD1SOLAR1,Shafter Solar,20,PHOTO VOLTAIC,20
BRDSLD2SHLO3A,Shiloh III - Phase A,102.5,WIND,100
BRDSLD2SHLO3B,Shiloh IV Wind Project,100,WIND,100
BRDSLD2SHILO2,Shiloh Wind Project 2,150,WIND,150
PLAINV6SOLAR3,Sierra Solar Greenworks LLC,20,PHOTO VOLTAIC,20
IVSLRP2SOLAR1,Silver Ridge Mount Signal,200,PHOTO VOLTAIC,200
PRIMM2SOLAR1,Silver State South,250,PHOTO VOLTAIC,250
JAWBNE2SRWND,Sky River,77,WIND,77.5
SLYCRK1UNIT1,Sly Creek PH,13,HYDRO,13
HUMBSB1QF,Small QF aggregation - Trinity,1.25,HYDRO,1.25
USWNDR2SMUD2,Solano Wind Project Phase 3,127.8,WIND,127.8
SLSTR12SOLAR1,Solar Star 1,310,PHOTO VOLTAIC,
SLSTR22SOLAR2,Solar Star 2,276,PHOTO VOLTAIC,276
BIGSKY2SOLAR6,Solverde 1,85,PHOTO VOLTAIC,85
SPIFBD1PL1X2,Sonora,7.5,STEAM,7.5
PEORIA1SOLAR,Sonora 1,1.5,PHOTO VOLTAIC,1.5
KERNRG1UNITS,South Belridge Cogen Facility,55.2,COMBUSTION TURBINE,69.6
SKERN6SOLAR1,South Kern Solar PV Plant,20,PHOTO VOLTAIC,20
SPAULD6UNIT3,Spaulding Unit 3,6.5,HYDRO,6.5
SPICER1UNITS,Spicer Hydro Aggregate,6,HYDRO,6
SPICER1UNIT1,SPICER HYDRO UNIT 1,2.8,HYDRO,2.8
SPICER1UNIT2,SPICER HYDRO UNIT 2,2.8,HYDRO,2.8
SPICER1UNIT3,SPICER HYDRO UNIT 3,0.5,HYDRO,0.5
SPRGAP1UNIT1,Spring Gap Unit 1,7,HYDRO,7
RVSIDE6SPRING,Springs Generation Project,36,COMBUSTION TURBINE,38
RVSIDE7SPRGU1,Springs Generation Project Unit 1,11,COMBUSTION TURBINE,9.5
RVSIDE7SPRGU2,Springs Generation Project Unit 2,11,COMBUSTION TURBINE,9.5
RVSIDE7SPRGU3,Springs Generation Project Unit 3,11,COMBUSTION TURBINE,9.5
RVSIDE7SPRGU4,Springs Generation Project Unit 4,11,COMBUSTION TURBINE,9.5
SNCLRA2SPRHYD,Springville Hydroelectric Generator,1,HYDRO,1
STANIS7UNIT1,Stanislaus Unit 1,91,HYDRO,91
COGNAT1UNIT,Stockton Biomas,48,STEAM,50
ELKCRK6STONYG,Stony Gorge Hydro,4.9,HYDRO,4.9
STROUD6SOLAR,Stroud Solar Station,20,PHOTO VOLTAIC,20
DELSUR6SOLAR1,Summer Solar North,6.5,PHOTO VOLTAIC,6.5
AVENAL6SUNCTY,Sun City Solar Project,20,PHOTO VOLTAIC,20
SRITA6SOLAR1,Sun Harvest Solar,1.5,PHOTO VOLTAIC,
CORONS2SOLAR,SunEdison - Corona,0.99,PHOTO VOLTAIC,1
MARTIN1SUNSET,Sunset Reservoir - North Basin,4.5,PHOTO VOLTAIC,4.5
SUNSHN2LNDFL,Sunshine Gas Producers Renewable Energy Plant,20,COMBUSTION TURBINE,23.5
SUNSHN2LNDFL1,Sunshine Unit 1,4.6,COMBUSTION TURBINE,4.7
SUNSHN2LNDFL2,Sunshine Unit 2,4.6,COMBUSTION TURBINE,4.7
SUNSHN2LNDFL3,Sunshine Unit 3,4.6,COMBUSTION TURBINE,4.7
SUNSHN2LNDFL4,Sunshine Unit 4,4.6,COMBUSTION TURBINE,4.7
SUNSHN2LNDFL5,Sunshine Unit 5,4.6,COMBUSTION TURBINE,4.7
CHILLS1SYCENG,Sycamore Energy 1,1.5,COMBUSTION TURBINE,1.9
TBLMTN6QF,TABLE MOUNTAIN AREA LUMPED QF UNITS,3.6,HYDRO,5.8
TERMEX2PL1X3,TERMOELCTRICA DE MEXICALI (Aggregate),625,COMBINED CYCLE,668
TESLA1QF,TESLA AREA LUMPED QF UNITS,2,HYDRO,2.46
VEDDER1SEKERN,TEXACO EXPLORATION & PRODUCTION INC. (SE KERN),39.7,COMBUSTION TURBINE,39.7
TIGRCK7UNITS,TIGER CREEK PH (AGGREGATE),62,HYDRO,62
TIGRCK7UNIT1,Tiger Creek Unit 1,31,HYDRO,31
TIGRCK7UNIT2,Tiger Creek Unit 2,31,HYDRO,31
TOADTW6UNIT,TOADTOWN PH,1.5,HYDRO,1.5
VESTAL2SOLAR2,TROPICO,14,PHOTO VOLTAIC,14
SPRGVL2TULE,TULE PH (PG&E),6.4,HYDRO,6.4
SPRGVL2TULESC,TULE PH (SCE),2.5,HYDRO,2.52
GOLETA6TAJIGS,Tajiguas - Unit #1,3.1,RECIPROCATING ENGINE,3.05
MONLTH6BATTRY,Tehachapi Storage Project,8,BATTERY,32
RVSIDE6SOLAR1,Tequesquite Landfill Solar Project,7.5,PHOTO VOLTAIC,7.5
CHINO2SOLAR2,Terra Francesca,1.49,PHOTO VOLTAIC,1.49
REEDLY6SOLAR,Terzian,1.23,PHOTO VOLTAIC,1.25
FTSWRD6TRFORK,Three Forks Water Power Project,1.63,HYDRO,1.8
SAUGUS2TOLAND,Toland Landfill gas to Energy Project,1.57,COMBUSTION TURBINE,2.8
TOPAZ2SOLAR,Topaz Solar Farms,550,PHOTO VOLTAIC,550
SANITR6UNITS,Total Energy Facility of Joint Water Pollution Control Plant,8,COMBINED CYCLE,35.5
SANITR6CTG1,Total Energy Facility of Joint Water Polution Control Plant - CTG UNIT 1,10,COMBUSTION TURBINE,10
SANITR6CTG2,Total Energy Facility of Joint Water Polution Control Plant - CTG UNIT 2,10,COMBUSTION TURBINE,10
SANITR6CTG3,Total Energy Facility of Joint Water Polution Control Plant - CTG UNIT 3,10,COMBUSTION TURBINE,10
SANITR6STG4,Total Energy Facility of Joint Water Polution Control Plant - STG UNIT 4,5.5,STEAM,5.5
THMENG1UNIT1,Tracy Biomass,18.5,STEAM,23
SCHLTE1PL1X3,Tracy Combined Cycle Power Plant,332.28,COMBINED CYCLE,332.28
SCHLTE1UNITA1,TRACY PEAKER PLANT UNIT 1,86,COMBUSTION TURBINE,85
SCHLTE1UNITA2,TRACY PEAKER PLANT UNIT 2,86,COMBUSTION TURBINE,85
TRNQLT2SOLAR,Tranquillity,200,PHOTO VOLTAIC,200
TULLCK7UNITS,Tulloch Hydro,25.9,HYDRO,25.9
TULLCK7UNIT1,Tulloch Hydro Unit 1,9.9,HYDRO,9.35
TULLCK7UNIT2,Tulloch Hydro Unit 2,9.9,HYDRO,9.35
TULLCK7UNIT3,Tulloch Hydro Unit 3,7.2,HYDRO,7.2
HOLGAT1BORAX,U.S. BORAX AND CHEMICAL CORP. (#1),48.2,COMBUSTION TURBINE,22
FROGTN7UTICA,UTICA POWER HYDRO AGGREGATE,6.2,HYDRO,5.5
POTTER7VECINO,VECINO VINEYARDS LLC,1.25,HYDRO,1.25
VESTAL6QF,VESTAL AREA LUMPED UNITS,18.6,HYDRO,12.3
VINCNT2QF,VINCENT AREA LUMPED UNITS,238.9,WIND,238.9
VISTA6QF,VISTA AREA LUMPED UNITS,0.6,,0.46
VOLTA7QFUNTS,VOLTA QF AGGREGATION,1.5,HYDRO,1.5
VOLTA2UNIT1,VOLTA UNIT 1,9.1,HYDRO,9.1
VOLTA2UNIT2,VOLTA UNIT 2,1,HYDRO,1
VACADX1NAS,Vaca Dixon Battery NAS,1.85,BATTERY,2.4
VACADX1UNITA1,Vaca Dixon Peaker Plant,50.61,COMBUSTION TURBINE,48.49
VACADX1SOLAR,Vaca-Dixon Solar Station,2.5,PHOTO VOLTAIC,2
VLCNTR6VCSLR1,Valley Center 1,2.5,PHOTO VOLTAIC,2.5
VLCNTR6VCSLR2,Valley Center 2,5,PHOTO VOLTAIC,5
CAYTNO2VASCO,Vasco Road,4.3,RECIPROCATING ENGINE,4.35
VEGA6SOLAR1,Vega Solar,20,PHOTO VOLTAIC,20
LACIEN2VENICE,Venice Hydroelectric Recovery Plant,9.95,HYDRO,10.14
VICTOR1VDRYFA,Victor Dry Farm Ranch A,5,PHOTO VOLTAIC,5
VICTOR1VDRYFB,Victor Dry Farm Ranch B,5,PHOTO VOLTAIC,5
VICTOR1SOLAR1,Victor Phelan Solar One,17.5,PHOTO VOLTAIC,17.5
TMPLTN2SOLAR,Vintner Solar,1.5,PHOTO VOLTAIC,1.5
BANGOR6HYDRO,Virginia Ranch Dam Powerplant,1,HYDRO,1.04
WARNE2UNIT,WARNE PH (AGGREGATE),76,HYDRO,78.2
WARNE2UNIT1,Warne Unit 1,39.1,HYDRO,39.1
WARNE2UNIT2,Warne Unit 2,39.1,HYDRO,39.1
ARCOGN2UNITS,WATSON COGENERATION COMPANY,416.6,COMBINED CYCLE,405.78
PNOCHE1PL1X2,WELLHEAD - PANOCHE PEAKER,49.97,COMBUSTION TURBINE,49.35
PNOCHE7CTG1,WELLHEAD - PANOCHE CTG UNIT 1,49,COMBUSTION TURBINE,49
PNOCHE7ICE2,WELLHEAD - PANOCHE ICE UNIT 2,0.3,INTERNAL COMBUSTION,0.35
WSENGY1UNIT1,WHEELABRATOR SHASTA,63,STEAM,63
BUCKWD7WINTCV,WINTEC V FACILITY,1.32,WIND,1.32
WISHON6UNITS,WISHON/SAN JOAQUIN 1-A (AGGREGATE),18.4,HYDRO,18.4
CRNEVL6SJQN1,San Joaquin 1-A,0.4,HYDRO,0.4
WISHON6UNIT1,Wishon Unit 1,5.6,HYDRO,5.6
WISHON6UNIT2,Wishon Unit 2,5.6,HYDRO,5.6
WISHON6UNIT3,Wishon Unit 3,5.6,HYDRO,5.6
WISHON6UNIT4,Wishon Unit 4,5.6,HYDRO,5.6
GARNET1WT3WND,"WKN Wagner, LLC",6,WIND,6
WOLFSK1UNITA1,WOLFSKILL ENERGY CENTER,46.9,COMBUSTION TURBINE,49.9
BIOMAS1UNIT1,WOODLAND BIOMASS,28.8,STEAM,28
WADHAM6UNIT,Wadham Energy LP,32,STEAM,29.07
WALCRK2CTG1,Walnut Creek Energy Park Unit 1,96.43,COMBUSTION TURBINE,100.1
WALCRK2CTG2,Walnut Creek Energy Park Unit 2,96.91,COMBUSTION TURBINE,100.1
WALCRK2CTG3,Walnut Creek Energy Park Unit 3,96.65,COMBUSTION TURBINE,100.1
WALCRK2CTG4,Walnut Creek Energy Park Unit 4,96.49,COMBUSTION TURBINE,100.1
WALCRK2CTG5,Walnut Creek Energy Park Unit 5,96.65,COMBUSTION TURBINE,100
GYSRVL7WSPRNG,Warm Springs,3.75,HYDRO,3.75
CEDRCK6UNIT,Water Wheel Ranch,0.98,HYDRO,0.98
VESTAL2WELLHD,Wellhead Power Delano,49,COMBUSTION TURBINE,49
ACACIA6SOLAR,West Antelope Solar,20,PHOTO VOLTAIC,20
WDFRDF2UNITS,West Ford Flat Power Plant,32.6,STEAM,32.6
GATES2WSOLAR,West Gates Solar Station,10,PHOTO VOLTAIC,10
WESTPT2UNIT,West Point PH,14,HYDRO,14
PLAINV6BSOLAR,Western Antelope Blue Sky Ranch A,20,PHOTO VOLTAIC,20
BIGSKY2SOLAR4,Western Antelope Blue Sky Ranch B,20,PHOTO VOLTAIC,20
PLAINV6DSOLAR,Western Antelope Dry Ranch,10,PHOTO VOLTAIC,10
DEXZEL1UNIT,Western Power and Steam Cogeneration,36.8,COMBUSTION TURBINE,30
JAYNE6WLSLR,Westlands Solar Farm PV 1,18,PHOTO VOLTAIC,19
HENRTA6SOLAR2,Westside Solar Power PV1,2,PHOTO VOLTAIC,2
SCHNDR1WSTSDE,Westside Solar Station,15,PHOTO VOLTAIC,15
OLIVEP1SOLAR,White River Solar,20,PHOTO VOLTAIC,20
OLIVEP1SOLAR2,White River West,19.75,PHOTO VOLTAIC,19.75
WHTWTR1WINDA1,Whitewater Hill Wind Project,61.5,WIND,61.5
GARNET2HYDRO,Whitewater Hydro,1.1,HYDRO,1
WLDWD1SOLAR1,Wildwood Solar I,20,PHOTO VOLTAIC,20
NZWIND6CALWND,Wind Resource I,9,WIND,9
ARBWD6QF,Wind Resource II,19.95,WIND,20
TEHAPI2WIND1,Wind Wall Monolith 1,16.9,WIND,17
TEHAPI2WIND2,Wind Wall Monolith 2,21.68,WIND,22.5
MIDWD6WNDLND,Windland Refresh I,7.45,WIND,7.46
VENWD1WIND1,Windpark Unlimited 1,9.43,WIND,9.44
VENWD1WIND2,Windpark Unlimited 2,16.05,WIND,16.06
WNDSTR2WIND,Windstar I,120,WIND,120
WNDSTR2WIND1,Windstar 1,60,WIND,60
WNDSTR2WIND2,Windstar 1,60,WIND,60
NZWIND6WDSTR,Windstream 39,6.2,WIND,6.24
NZWIND6WDSTR2,Windstream 40,6.9,WIND,6.93
NZWIND6WDSTR3,Windstream 41,6,WIND,6.02
NZWIND6WDSTR4,Windstream 6042,6.77,WIND,6.77
NZWIND2WDSTR5,Windstream 6111,6.31,WIND,6.5
GARNET2WIND4,Windustries,9.8,WIND,9.8
WISE1UNIT1,Wise Unit 1,14.5,HYDRO,14.5
WISE1UNIT2,Wise Unit 2,3.2,HYDRO,3.2
WDLEAF7UNIT1,Woodleaf PH,60,HYDRO,60
LAMONT1SOLAR3,Woodmere Solar Farm,14.99,PHOTO VOLTAIC,18.75
SWIFT1NAS,YERBA BUENA BATTERY,4,BATTERY,4.8
HILAND7YOLOWD,YOLO COUNTY FLOOD & WCD,3.75,HYDRO,3.75
VILLPK6MWDYOR,YORBA LINDA HYDRO RECOVERY PLANT,5.1,HYDRO,5.1
YUBACT1SUNSWT,YUBA CITY COGEN (SUNSWEET),49.97,COMBUSTION TURBINE,57.2
YUBACT6UNITA1,Yuba City Energy Center,46,COMBUSTION TURBINE,49.9
OAKWD6ZEPHWD,Zephyr Park,3.5,WIND,4.2
DIXNLD1LNDFL,Zero Waste Energy,1.6,RECIPROCATING ENGINE,1.6
TUPMAN1BIOGAS,ABEC Bidart-Stockale #1,0.6,INTERNAL COMBUSTION,0.6
AZUSA2HYDRO,AZUSA HYDRO,2.5,HYDRO,2.5
BLULKE6BLUELK,Blue lake Power,12,STEAM,13.8
CWATER7UNIT1,Coolwater Unit 1,63,STEAM,65
CWATER7UNIT2,Coolwater Unit 2,81.5,STEAM,71
ETIWND2SOLAR,FONTANA RT SOLAR,2,PHOTO VOLTAIC,2
IBMCTL1UNIT1,IBM COTTLE,50,COMBUSTION TURBINE,50
KERKH17UNIT2,Kerckhoff PH 1 Unit #2,12.8,HYDRO,12.8
LEWSTN7UNIT1,Lewiston,0.5,HYDRO,0.5
EGATE7NOCITY,MM San Diego LLC - North City,3.2,RECIPROCATING ENGINE,3.8
HOLGAT1MOGEN,MOJAVE COGENERATION COMPANY,55,COMBUSTION TURBINE,55
CHINO2LNDFIL,Spadra,12.5,STEAM,10.5
PICO6THUMS1,THUMS GENERATION FACILITY,47,COMBUSTION TURBINE,47
BAHIA7UNITA1,Valero Cogeneration Unit #1,44.7,COMBUSTION TURBINE,44.7
MIDWD2WIND1,Windland Refresh 2,7.81,WIND,7.81
ZANKER1UNIT1,ZANKER ROAD,2,,2
ZANKER1UNIT2,ZANKER ROAD,2,,2
