Name,Bus ID,Bus Name,Long Name,ServiceStatus,Commission Date,Retirement Date,DevStatus,Area Name,Region Name,State
15269_ADS30_Copper Crossing 9,1000,Bus1000,Copper Crossing Gen Station (Abel Peaking) CCGS1-5 9,#FALSE#,#2023-05-01#,#2050-12-31#,Future-Planned,PNM,SW_PNM,AZ
14901_ADS30_NEW_SYN COND_14901_1,1000,Bus1000,SYN COND,#FALSE#,#2018-03-30#,#2018-01-01#,Future-Conceptual,PNM,SW_PNM,AZ
16804_ADS30_Kingman Wind,1000,Bus1000,GRIFFITH_69_WG,#FALSE#,#2018-03-30#,#2050-03-30#,Future-Conceptual,PNM,SW_PNM,AZ
16530_ADS30_Bowie CC1a,1000,Bus1000,BowieCC1 (Total CC Plant),#FALSE#,#2015-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
16531_ADS30_Bowie CC1b,1000,Bus1000,BowieCC1 (Total CC Plant),#FALSE#,#2015-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
16533_ADS30_Bowie CC2a,1000,Bus1000,BowieCC2 (Total CC Plant),#FALSE#,#2015-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
16534_ADS30_Bowie CC2b,1000,Bus1000,BowieCC2 (Total CC Plant),#FALSE#,#2015-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
10319_ADS30_San Juan 2,1000,Bus1000,San Juan-2,#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
10320_ADS30_San Juan 3,1000,Bus1000,San Juan-3,#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
10969_ADS30_La Joya Wind,1000,Bus1000,EL_CABO_1,#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
10999_ADS30_Casa Mesa Wind,1000,Bus1000,EL_CABO_1,#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
10011_ADS30_Route 66 Solar PV,1000,Bus1000,NA,#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
11114_ADS30_Newman_3,1000,Bus1000,Newman-3,#FALSE#,#1966-03-01#,#2024-12-31#,Existing,PNM,SW_PNM,TX
11113_ADS30_Newman_2,1000,Bus1000,Newman-2,#FALSE#,#1963-06-01#,#2023-12-31#,Existing,PNM,SW_PNM,TX
11112_ADS30_Newman_1,1000,Bus1000,Newman-1,#FALSE#,#1960-05-01#,#2022-12-31#,Existing,PNM,SW_PNM,TX
11134_ADS30_RioGrande7,1000,Bus1000,Rio Grande-7,#FALSE#,#1958-06-01#,#2022-12-31#,Existing,PNM,SW_PNM,NM
11133_ADS30_RioGrande6,1000,Bus1000,Rio Grande-6,#FALSE#,#1957-06-01#,#2017-12-31#,Existing,PNM,SW_PNM,NM
11115_ADS30_Newman CC4a,1000,Bus1000,Newman4CC (Total CC Plant),#FALSE#,#1975-06-01#,#2023-12-31#,Existing,PNM,SW_PNM,TX
11116_ADS30_Newman CC4b,1000,Bus1000,Newman4CC (Total CC Plant),#FALSE#,#1975-06-01#,#2023-12-31#,Existing,PNM,SW_PNM,TX
Bangor Submarine Base (IC-1000-I1),1000,Bus1000,Bangor Submarine Base - IC - 1000 - I1 - WA - EC - MEB,#TRUE#,#2001-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Bangor Submarine Base (IC-1000-I2),1000,Bus1000,Bangor Submarine Base - IC - 1000 - I2 - WA - EC - MEB,#TRUE#,#2001-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Puget Sound Navy Shipyard (IC-1000-I3),1000,Bus1000,Puget Sound Navy Shipyard - IC - 1000 - I3 - WA - EC - MEB,#TRUE#,#2001-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Trail Bridge (HY-1000-01),1000,Bus1000,Trail Bridge - HY - 1000 - 01 - OR - EC - MEB,#TRUE#,#1962-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
ParqueEolico,2000,Bus2000,Parque Eolico Rumorosa-1,#FALSE#,#2010-10-01#,#2050-12-01#,Existing,CISC,CA_CISO,MX
CerroPrieto1-4,2000,Bus2000,Cerro Prieto I-4,#FALSE#,#1979-03-01#,#2050-12-31#,Existing,CISC,CA_CISO,MX
CerroPrieto1-3,2000,Bus2000,Cerro Prieto I-3,#FALSE#,#1979-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,MX
CerroPrieto1-2,2000,Bus2000,Cerro Prieto I-2,#FALSE#,#1973-05-01#,#2050-12-31#,Existing,CISC,CA_CISO,MX
CerroPrieto1-1,2000,Bus2000,Cerro Prieto I-1,#FALSE#,#1973-10-01#,#2050-12-31#,Existing,CISC,CA_CISO,MX
Prima_Plant1,2000,Bus2000,Prima Plant-UNT1_22112,#FALSE#,#1999-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
OtayLF1,2000,Bus2000,OTAY LANDFILL UNIT 1_22604,#FALSE#,#1987-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
San_Gabriel,2000,Bus2000,San Gabriel Facility-GEN1_24140,#FALSE#,#1985-11-18#,#2050-12-31#,Existing,CISC,CA_CISO,CA
Hauser_HAU6,2000,Bus2000,Hauser-HAU6,#FALSE#,#1915-09-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Hauser_HAU5,2000,Bus2000,Hauser-HAU5,#FALSE#,#1911-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Hauser_HAU4,2000,Bus2000,Hauser-HAU4,#FALSE#,#1911-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Madison_MAD4,2000,Bus2000,Madison-MAD4,#FALSE#,#1908-07-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Madison_MAD3,2000,Bus2000,Madison-MAD3,#FALSE#,#1906-09-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Madison_MAD2,2000,Bus2000,Madison-MAD2,#FALSE#,#1906-09-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Madison_MAD1,2000,Bus2000,Madison-MAD1,#FALSE#,#1906-09-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Ryan2_Upgrd,2000,Bus2000,Ryan (post-upgrade)-RYA2,#FALSE#,#2015-08-19#,#2050-12-01#,Pre-Const Reg Approval-Review,CISC,CA_CISO,MT
Hauser_HAU3,2000,Bus2000,Hauser-HAU3,#FALSE#,#1911-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Hauser_HAU2,2000,Bus2000,Hauser-HAU2,#FALSE#,#1911-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
Hauser_HAU1,2000,Bus2000,Hauser-HAU1,#FALSE#,#1911-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,MT
ArenaDrop,2000,Bus2000,Arena Drop-1,#FALSE#,#2010-09-01#,#2030-04-15#,Existing,CISC,CA_CISO,ID
Argus_Cogen9,2000,Bus2000,Argus Cogen Plant-TG9_24733,#FALSE#,#1983-04-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BellevueSolarINV1,2000,Bus2000,Bellevue Solar Project-INV-1,#FALSE#,#2011-10-01#,#2050-12-31#,Existing,CISC,CA_CISO,OR
Bend2,2000,Bus2000,Bend-2,#FALSE#,#1915-12-01#,#2050-12-31#,Existing,CISC,CA_CISO,OR
Bend3,2000,Bus2000,Bend-3,#FALSE#,#1916-12-01#,#2050-12-31#,Existing,CISC,CA_CISO,OR
BigSky1,2000,Bus2000,Big Sky Dairy Digester-GEN1,#FALSE#,#2008-12-01#,#2050-12-31#,Existing,CISC,CA_CISO,ID
BigSky2,2000,Bus2000,Big Sky Dairy Digester-GEN2,#FALSE#,#2008-12-01#,#2050-12-31#,Existing,CISC,CA_CISO,ID
BiomassOneGE1,2000,Bus2000,Biomass One LP-GE,#FALSE#,#1985-12-01#,#2050-12-31#,Existing,CISC,CA_CISO,OR
BirchCreek1,2000,Bus2000,Birch Creek-1,#FALSE#,#1984-11-01#,#2050-12-31#,Existing,CISC,CA_CISO,ID
BishopCreek2-2,2000,Bus2000,Bishop Creek 2-2,#FALSE#,#1908-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek2-3,2000,Bus2000,Bishop Creek 2-3,#FALSE#,#1908-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek3-2,2000,Bus2000,Bishop Creek 3-2,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek3-3,2000,Bus2000,Bishop Creek 3-3,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek4-1,2000,Bus2000,Bishop Creek 4-1,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek4-2,2000,Bus2000,Bishop Creek 4-2,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek4-3,2000,Bus2000,Bishop Creek 4-3,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek4-4,2000,Bus2000,Bishop Creek 4-4,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
BishopCreek4-5,2000,Bus2000,Bishop Creek 4-5,#FALSE#,#1905-01-01#,#2050-12-31#,Existing,CISC,CA_CISO,CA
