num,num_1,Name,DOE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Name_Description,netcap,typ,PLPRMFL,PLFUELCT,NAMEPCAP
137,109,SRI International Cogen Project,50537,,,,,,,,,,,,,,SRI INTERNATIONAL,6.9,ngct,NG,GAS,6
138,110,Sycamore Cogeneration,50134,,,,,,,,,,,,,,SYCAMORE COGENERATION UNIT 1,85.0,ngct,NG,GAS,300
139,111,Sycamore Cogeneration,50134,,,,,,,,,,,,,,SYCAMORE COGENERATION UNIT 2,85.0,ngct,NG,GAS,300
140,112,Sycamore Cogeneration,50134,,,,,,,,,,,,,,SYCAMORE COGENERATION UNIT 3,85.0,ngct,NG,GAS,300
141,113,Sycamore Cogeneration,50134,,,,,,,,,,,,,,SYCAMORE COGENERATION UNIT 4,85.0,ngct,NG,GAS,300
142,114,0,0,,,,,,,,,,,,,,TERMOELCTRICA DE MEXICALI (Aggregate),625.0,ngcc,,,
143,115,0,0,,,,,,,,,,,,,,TEXACO EXPLORATION & PRODUCTION INC. (SE KERN),39.7,ngct,,,
144,116,US Borax,50115,,,,,,,,,,,,,,U.S. BORAX AND CHEMICAL CORP. (#1),48.2,ngct,NG,GAS,48.2
145,117,0,0,,,,,,,,,,,,,,Vaca Dixon Peaker Plant,50.61,ngct,,,
146,118,Watson Cogeneration,50216,,,,,,,,,,,,,,WATSON COGENERATION COMPANY,416.6,ngcc,NG,GAS,499.2
147,119,0,0,,,,,,,,,,,,,,WELLHEAD - PANOCHE PEAKER,49.97,ngct,,,
148,120,Western Power & Steam Inc,54410,,,,,,,,,,,,,,Western Power and Steam Cogeneration,36.8,ngct,NG,GAS,36
149,121,Yuba City Cogen Partners,52186,,,,,,,,,,,,,,YUBA CITY COGEN (SUNSWEET),49.97,ngct,NG,GAS,49
