IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
16,500.9,2714.6,96.1
16.5,146.3,2956.1,72.8
15.1,0,2777.2,175.5
23.3,0,2614,48.1
19.2,0,2816.4,0
21.4,0,2811.5,0
25.6,0,2787,0
2.3,0,2290.2,0
0,0,516.2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
23.1,0,985.2,301.3
177.9,0,1013.7,304.1
175.6,96.2,1264.2,306.9
169.1,33.4,1046.2,256.3
157.4,0,735.9,193
166.1,0,589.5,198.1
157,0,730.6,63.4
170.2,195.7,1392.8,0
87.6,0,702.5,0
0,0,104.5,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,77.9,0
31.4,387.2,2179.8,0
174.8,1067.8,2459.2,97.4
183,1100,2516.9,118.4
183,1099.8,2379.2,0
182.3,1077,2076.6,98.4
177,1088.3,2213.5,172.6
183,1098.8,2127.9,405.7
183,1100,2496.1,240.1
100.3,521.7,1930.3,68
7.4,0,128.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31.4,282.9,2707.7,302
182.2,1072.6,2768.7,376.8
183,1090.2,3134.1,303.9
183,1056.4,3038,193.5
178.3,1047.6,2754.9,174.7
179.4,1028.9,2539.7,376.8
174.1,1075.4,2333.9,328.5
174.9,1056.3,2451,351
104.7,135.3,1325.3,94.5
3.2,0,110.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
